,Country,League,Season
0,England,Premier League,2024/2025
1,England,Premier League,23/24
2,England,Premier League,22/23
3,England,Premier League,21/22
4,England,Championship,2024/2025
5,England,Championship,23/24
6,England,Championship,22/23
7,England,Championship,21/22
8,England,League One,2024/2025
9,England,League One,23/24
10,England,League One,22/23
11,England,League One,21/22
12,England,League Two,2024/2025
13,England,League Two,23/24
14,England,League Two,22/23
15,England,League Two,21/22
16,England,National League,2024/2025
17,England,National League,23/24
18,England,National League,22/23
19,England,National League,21/22
20,England,Women's Super League,2024/2025
21,England,Women's Super League,2023/2024
22,Spain,La Liga,2024/2025
23,Spain,La Liga,23/24
24,Spain,La Liga,22/23
25,Spain,La Liga,21/22
26,Spain,Segunda Division,2024/2025
27,Spain,Segunda Division,23/24
28,Spain,Segunda Division,22/23
29,Spain,Segunda Division,21/22
30,Spain,Primera Division Women,2024/2025
31,Spain,Primera Division Women,2023/2024
32,Germany,Bundesliga,2024/2025
33,Germany,Bundesliga,23/24
34,Germany,Bundesliga,22/23
35,Germany,Bundesliga,21/22
36,Germany,Bundesliga 2,2024/2025
37,Germany,Bundesliga 2,23/24
38,Germany,Bundesliga 2,22/23
39,Germany,Bundesliga 2,21/22
40,Germany,Frauen-Bundesliga Women,2024/2025
41,Germany,Frauen-Bundesliga Women,2023/2024
42,Italy,Serie A,2024/2025
43,Italy,Serie A,23/24
44,Italy,Serie A,22/23
45,Italy,Serie A,21/22
46,Italy,Serie B,2024/2025
47,Italy,Serie B,23/24
48,Italy,Serie B,22/23
49,Italy,Serie B,21/22
50,Italy,Serie A Women,2024/2025
51,Italy,Serie A Women,2023/2024
52,France,Ligue 1,2024/2025
53,France,Ligue 1,23/24
54,France,Ligue 1,22/23
55,France,Ligue 1,21/22
56,France,Ligue 2,2024/2025
57,France,Ligue 2,23/24
58,France,Ligue 2,22/23
59,France,Ligue 2,21/22
60,France,Division 1 Women,2024/2025
61,France,Division 1 Women,2023/2024
62,Scotland,SPL,2024/2025
63,Scotland,SPL,23/24
64,Scotland,SPL,22/23
65,Scotland,SPL,21/22
66,Scotland,Scottish Championship,2024/2025
67,Scotland,Scottish Championship,23/24
68,Scotland,Scottish Championship,22/23
69,Scotland,Scottish Championship,21/22
70,Scotland,Scottish League 1,2024/2025
71,Scotland,Scottish League 1,23/24
72,Scotland,Scottish League 1,22/23
73,Scotland,Scottish League 1,21/22
74,Scotland,Scottish League 2,2024/2025
75,Scotland,Scottish League 2,23/24
76,Scotland,Scottish League 2,22/23
77,Scotland,Scottish League 2,21/22
78,Argentina,Primera Division,2024
79,Argentina,Primera Division,2023
80,Argentina,Primera Division,2022
81,Argentina,Primera B Nacional,2024
