,Country,League,Date,Local,Local Goals,Away Goals,Away
0,England,Premier League,12-08-2022,Arsenal,4,2,Leicester
1,England,Premier League,26-08-2022,Arsenal,2,1,Fulham
2,England,Premier League,30-08-2022,Arsenal,2,1,Aston Villa
3,England,Premier League,30-09-2022,Arsenal,3,1,Tottenham
4,England,Premier League,08-10-2022,Arsenal,3,2,Liverpool
5,England,Premier League,29-10-2022,Arsenal,5,0,Nott'm Forest
6,England,Premier League,25-12-2022,Arsenal,3,1,West Ham
7,England,Premier League,02-01-2023,Arsenal,0,0,Newcastle
8,England,Premier League,21-01-2023,Arsenal,3,2,Man United
9,England,Premier League,10-02-2023,Arsenal,1,1,Brentford
10,England,Premier League,14-02-2023,Arsenal,1,3,Man City
11,England,Premier League,28-02-2023,Arsenal,4,0,Everton
12,England,Premier League,03-03-2023,Arsenal,3,2,Bournemouth
13,England,Premier League,18-03-2023,Arsenal,4,1,Crystal Palace
14,England,Premier League,31-03-2023,Arsenal,4,1,Leeds
15,England,Premier League,20-04-2023,Arsenal,3,3,Southampton
16,England,Premier League,01-05-2023,Arsenal,3,1,Chelsea
17,England,Premier League,13-05-2023,Arsenal,0,3,Brighton
18,England,Premier League,27-05-2023,Arsenal,5,0,Wolves
19,England,Premier League,04-08-2022,Crystal Palace,0,2,Arsenal
20,England,Premier League,19-08-2022,Bournemouth,0,3,Arsenal
21,England,Premier League,03-09-2022,Man United,3,1,Arsenal
22,England,Premier League,17-09-2022,Brentford,0,3,Arsenal
23,England,Premier League,15-10-2022,Leeds,0,1,Arsenal
24,England,Premier League,22-10-2022,Southampton,1,1,Arsenal
25,England,Premier League,05-11-2022,Chelsea,0,1,Arsenal
26,England,Premier League,11-11-2022,Wolves,0,2,Arsenal
27,England,Premier League,30-12-2022,Brighton,2,4,Arsenal
28,England,Premier League,14-01-2023,Tottenham,0,2,Arsenal
29,England,Premier League,03-02-2023,Everton,1,0,Arsenal
30,England,Premier League,17-02-2023,Aston Villa,2,4,Arsenal
31,England,Premier League,24-02-2023,Leicester,0,1,Arsenal
32,England,Premier League,11-03-2023,Fulham,0,3,Arsenal
33,England,Premier League,08-04-2023,Liverpool,2,2,Arsenal
34,England,Premier League,15-04-2023,West Ham,2,2,Arsenal
35,England,Premier League,25-04-2023,Man City,4,1,Arsenal
36,England,Premier League,06-05-2023,Newcastle,0,2,Arsenal
37,England,Premier League,19-05-2023,Nott'm Forest,1,0,Arsenal
38,England,Premier League,12-08-2022,Aston Villa,2,1,Everton
39,England,Premier League,27-08-2022,Aston Villa,0,1,West Ham
40,England,Premier League,02-09-2022,Aston Villa,1,1,Man City
41,England,Premier League,15-09-2022,Aston Villa,1,0,Southampton
42,England,Premier League,15-10-2022,Aston Villa,0,2,Chelsea
43,England,Premier League,22-10-2022,Aston Villa,4,0,Brentford
44,England,Premier League,05-11-2022,Aston Villa,3,1,Man United
45,England,Premier League,25-12-2022,Aston Villa,1,3,Liverpool
46,England,Premier League,03-01-2023,Aston Villa,1,1,Wolves
47,England,Premier League,12-01-2023,Aston Villa,2,1,Leeds
48,England,Premier League,03-02-2023,Aston Villa,2,4,Leicester
49,England,Premier League,03-03-2023,Aston Villa,1,0,Crystal Palace
50,England,Premier League,17-03-2023,Aston Villa,3,0,Bournemouth
51,England,Premier League,07-04-2023,Aston Villa,2,0,Nott'm Forest
52,England,Premier League,14-04-2023,Aston Villa,3,0,Newcastle
53,England,Premier League,24-04-2023,Aston Villa,1,0,Fulham
54,England,Premier League,12-05-2023,Aston Villa,2,1,Tottenham
55,England,Premier League,27-05-2023,Aston Villa,2,1,Brighton
56,England,Premier League,05-08-2022,Bournemouth,2,0,Aston Villa
57,England,Premier League,19-08-2022,Crystal Palace,3,1,Aston Villa
58,England,Premier League,01-10-2022,Leeds,0,0,Aston Villa
59,England,Premier League,09-10-2022,Nott'm Forest,1,1,Aston Villa
60,England,Premier League,19-10-2022,Fulham,3,0,Aston Villa
61,England,Premier League,28-10-2022,Newcastle,4,0,Aston Villa
62,England,Premier League,12-11-2022,Brighton,1,2,Aston Villa
63,England,Premier League,31-12-2022,Tottenham,0,2,Aston Villa
64,England,Premier League,20-01-2023,Southampton,0,1,Aston Villa
65,England,Premier League,11-02-2023,Man City,3,1,Aston Villa
66,England,Premier League,24-02-2023,Everton,0,2,Aston Villa
67,England,Premier League,11-03-2023,West Ham,1,1,Aston Villa
68,England,Premier League,31-03-2023,Chelsea,0,2,Aston Villa
69,England,Premier League,03-04-2023,Leicester,1,2,Aston Villa
70,England,Premier League,21-04-2023,Brentford,1,1,Aston Villa
71,England,Premier League,29-04-2023,Man United,1,0,Aston Villa
72,England,Premier League,05-05-2023,Wolves,1,0,Aston Villa
73,England,Premier League,19-05-2023,Liverpool,1,1,Aston Villa
74,England,Premier League,30-08-2022,Bournemouth,0,0,Wolves
75,England,Premier League,30-09-2022,Bournemouth,0,0,Brentford
76,England,Premier League,07-10-2022,Bournemouth,2,1,Leicester
77,England,Premier League,18-10-2022,Bournemouth,0,1,Southampton
78,England,Premier League,28-10-2022,Bournemouth,2,3,Tottenham
79,England,Premier League,11-11-2022,Bournemouth,3,0,Everton
80,England,Premier League,30-12-2022,Bournemouth,0,2,Crystal Palace
81,England,Premier League,20-01-2023,Bournemouth,1,1,Nott'm Forest
